variable,valid_range,min,max,n_out_of_range
BIO_SEX,"[1, 2]",1.0,2.0,0
AH_RAW,"[0, 87]",0.0,87.0,0
AH_PVT,"[0, 200]",14.0,138.0,0
H1GH1,"[1, 5]",1.0,5.0,0
H1DA7,"[0, 3]",0.0,3.0,0
H1FS13,"[0, 3]",0.0,3.0,0
H1FS14,"[0, 3]",0.0,3.0,0
H1ED19,"[1, 5]",1.0,5.0,0
H1ED20,"[1, 5]",1.0,5.0,0
H1ED21,"[1, 5]",1.0,5.0,0
H1ED22,"[1, 5]",1.0,5.0,0
H1ED23,"[1, 5]",1.0,5.0,0
H1ED24,"[1, 5]",1.0,5.0,0
CESD_SUM,"[0, 57]",0.0,50.0,0
PARENT_ED,"[0, 6]",0.0,6.0,0
SCHOOL_BELONG,"[0, 30]",6.0,30.0,0
FRIEND_N_NOMINEES,"[0, 10]",0.0,10.0,0
FRIEND_CONTACT_SUM,"[0, 40]",0.0,50.0,6
FRIEND_DISCLOSURE_ANY,"[0, 1]",0.0,1.0,0
IDGX2,"[0, 50]",0.0,30.0,0
ODGX2,"[0, 50]",0.0,10.0,0
BCENT10X,"[-1000000.0, 1000000.0]",0.0,4.2882791393674555,0
REACH,"[0, 5000]",0.0,1791.0,0
REACH3,"[0, 5000]",0.0,264.0,0
PRXPREST,"[0, 1]",0.00044464206313917296,0.7741935483870969,0
INFLDMN,"[0, 5000]",0.0,1705.0,0
IGDMEAN,"[0, 100]",1.0,21.389759665621735,0
ESDEN,"[0, 1]",0.09090909090909091,1.0,0
ERDEN,"[0, 1]",0.08172043010752689,1.0,0
ESRDEN,"[0, 1]",0.07602339181286549,1.0,0
RCHDEN,"[0, 1]",0.1630238613261048,0.96,0
HAVEBMF,"[0, 1]",0.0,1.0,0
HAVEBFF,"[0, 1]",0.0,1.0,0
BMFRECIP,"[0, 1]",0.0,1.0,0
BFFRECIP,"[0, 1]",0.0,1.0,0
IDG_ZERO,"[0, 1]",0.0,1.0,0
IDG_LEQ1,"[0, 1]",0.0,1.0,0
C4WD90_1,"[0, 15]",0.0,15.0,0
C4WD60_1,"[0, 15]",0.0,15.0,0
C4NUMSCR,"[0, 7]",0.0,7.0,0
H1GI1M,"[1, 12]",1.0,96.0,3
H4BMI,"[10, 80]",14.4,70.3,0
H4SBP,"[50, 250]",77.0,212.0,0
H4DBP,"[30, 180]",31.0,145.0,0
H4WAIST,"[40, 200]",50.0,197.0,0
H4BMICLS,"[1, 6]",1.0,6.0,0
H4TO5,"[0, 30]",0.0,30.0,0
H4TO39,"[0, 6]",0.0,6.0,0
H4TO70,"[0, 6]",0.0,6.0,0
H4TO65B,"[0, 1]",0.0,1.0,0
H4TO65C,"[0, 1]",0.0,1.0,0
H5MN1,"[1, 5]",1.0,5.0,0
H5MN2,"[1, 5]",1.0,5.0,0
H5ID1,"[1, 5]",1.0,5.0,0
H5ID4,"[1, 3]",1.0,3.0,0
H5ID16,"[0, 4]",0.0,4.0,0
H5LM5,"[1, 3]",1.0,3.0,0
H5EC1,"[1, 13]",1.0,13.0,0
H5TO2,"[0, 30]",0.0,30.0,0
H5TO12,"[0, 6]",0.0,6.0,0
H5TO15,"[0, 6]",0.0,6.0,0
H5EL6A,"[0, 1]",0.0,1.0,0
H5EL6B,"[0, 1]",0.0,1.0,0
H5EL6D,"[0, 1]",0.0,1.0,0
H5EL6F,"[0, 1]",0.0,1.0,0
H5DA9,"[1, 5]",1.0,5.0,0
