outcome,cesd_tertile,n,beta_qtrend,se_qtrend,p_qtrend
H5MN1,1,895,-0.013879610008390143,0.027518429009429173,0.6149975715075757
H5MN1,2,847,-0.08319741615611952,0.027268112580061975,0.002847210262475346
H5MN1,3,747,-0.01232181151089631,0.03113562080560113,0.6930727694036327
H5MN2,1,890,0.03253979007907439,0.02546806936655911,0.20403149532061635
H5MN2,2,847,0.050050287952064246,0.02587893774742309,0.05563426246378585
H5MN2,3,745,0.002941194770375577,0.023116423978633293,0.8989918010420332
H5ID1,1,908,-0.03954734838310846,0.023068499576894812,0.08925643577497482
H5ID1,2,869,-0.07579875799160772,0.022230282363340674,0.0009049583462315149
H5ID1,3,765,-0.06728465329452078,0.028905488813023704,0.021771809521612385
