outcome,stratum,n,beta_idgx2,se_idgx2,p_idgx2,ci_lo,ci_hi
H4BMI,female,1771,-0.28790040997235594,0.05002319438941357,7.782456413123161e-08,-0.38702470905711356,-0.18877611088759833
H4BMI,male,1463,-0.12054959595720147,0.03695090202098248,0.001464566031033091,-0.19376307175583207,-0.047336120158570874
H4WAIST,female,1780,-0.6735315157435938,0.12853093296081075,7.712134215262339e-07,-0.928224139754559,-0.4188388917326286
H4WAIST,male,1470,-0.35737802365156596,0.08622948755562555,6.641840306690475e-05,-0.5282306999055095,-0.18652534739762236
H4BMICLS,female,1771,-0.04451956300747685,0.00884229851624699,1.8633999504490495e-06,-0.0620411678034046,-0.026997958211549097
H4BMICLS,male,1463,-0.02117526385577622,0.006995399436501694,0.0030649913434176723,-0.035035751133062266,-0.007314776578490174
H5MN1,female,1389,-0.01014406640509901,0.013290174383585455,0.44691823243660217,-0.03647943415934036,0.016191301349142338
H5MN1,male,998,-0.023586010897038014,0.011043790934213942,0.03488373972746642,-0.04546786698347598,-0.0017041548106000483
H5MN2,female,1386,0.010245154035933415,0.008787394460994028,0.24615712977467907,-0.007167654709276466,0.027657962781143297
H5MN2,male,994,0.019401934285510458,0.010861813962250598,0.07676428062126636,-0.0021193577577228034,0.04092322632874372
