z_pop,z_lone,pred_outcome
-2.0,-2.0,29.83536037670136
-2.0,-1.5,29.808335415021283
-2.0,-1.0,29.78131045334121
-2.0,-0.5,29.75428549166113
-2.0,0.0,29.727260529981056
-2.0,0.5,29.700235568300982
-2.0,1.0,29.673210606620902
-2.0,1.5,29.64618564494083
-2.0,2.0,29.619160683260752
-1.5,-2.0,29.424565380026984
-1.5,-1.5,29.408581059839545
-1.5,-1.0,29.392596739652106
-1.5,-0.5,29.376612419464664
-1.5,0.0,29.360628099277225
-1.5,0.5,29.344643779089786
-1.5,1.0,29.328659458902344
-1.5,1.5,29.312675138714905
-1.5,2.0,29.296690818527466
-1.0,-2.0,29.01377038335261
-1.0,-1.5,29.008826704657807
-1.0,-1.0,29.003883025963002
-1.0,-0.5,28.998939347268198
-1.0,0.0,28.993995668573394
-1.0,0.5,28.98905198987859
-1.0,1.0,28.984108311183785
-1.0,1.5,28.97916463248898
-1.0,2.0,28.974220953794177
-0.5,-2.0,28.602975386678235
-0.5,-1.5,28.60907234947607
-0.5,-1.0,28.615169312273903
-0.5,-0.5,28.62126627507173
-0.5,0.0,28.627363237869563
-0.5,0.5,28.633460200667397
-0.5,1.0,28.639557163465224
-0.5,1.5,28.645654126263057
-0.5,2.0,28.65175108906089
0.0,-2.0,28.192180390003863
0.0,-1.5,28.20931799429433
0.0,-1.0,28.2264555985848
0.0,-0.5,28.243593202875264
0.0,0.0,28.260730807165732
0.0,0.5,28.2778684114562
0.0,1.0,28.295006015746665
0.0,1.5,28.312143620037133
0.0,2.0,28.3292812243276
0.5,-2.0,27.78138539332949
0.5,-1.5,27.809563639112593
0.5,-1.0,27.837741884895696
0.5,-0.5,27.8659201306788
0.5,0.0,27.8940983764619
0.5,0.5,27.922276622245004
0.5,1.0,27.950454868028107
0.5,1.5,27.97863311381121
0.5,2.0,28.006811359594312
1.0,-2.0,27.370590396655114
1.0,-1.5,27.409809283930855
1.0,-1.0,27.449028171206596
1.0,-0.5,27.48824705848233
1.0,0.0,27.52746594575807
1.0,0.5,27.56668483303381
1.0,1.0,27.605903720309545
1.0,1.5,27.645122607585286
1.0,2.0,27.684341494861027
1.5,-2.0,26.95979539998074
1.5,-1.5,27.010054928749117
1.5,-1.0,27.060314457517492
1.5,-0.5,27.110573986285864
1.5,0.0,27.16083351505424
1.5,0.5,27.211093043822615
1.5,1.0,27.261352572590987
1.5,1.5,27.311612101359362
1.5,2.0,27.361871630127737
2.0,-2.0,26.549000403306366
2.0,-1.5,26.61030057356738
2.0,-1.0,26.67160074382839
2.0,-0.5,26.7329009140894
2.0,0.0,26.79420108435041
2.0,0.5,26.85550125461142
2.0,1.0,26.91680142487243
2.0,1.5,26.978101595133438
2.0,2.0,27.03940176539445
