label,exposure,outcome,binarisation,eta_1,eta_0,ate_perturbed,ate_baseline,ate_shift
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,0.8,0.8,1.2415673074759612,0.6331761952634833,0.6083911122124779
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,0.8,0.9,1.1175677689634567,0.6331761952634833,0.4843915736999733
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,0.8,1.0,0.9935682304509522,0.6331761952634833,0.3603920351874689
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,0.8,1.1,0.8695686919384478,0.6331761952634833,0.23639249667496443
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,0.8,1.2,0.7455691534259435,0.6331761952634833,0.1123929581624602
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,0.9,0.8,1.0413495101495893,0.6331761952634833,0.408173314886106
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,0.9,0.9,0.917349971637085,0.6331761952634833,0.28417377637360164
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,0.9,1.0,0.7933504331245808,0.6331761952634833,0.1601742378610974
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,0.9,1.1,0.6693508946120762,0.6331761952634833,0.036174699348592854
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,0.9,1.2,0.545351356099572,0.6331761952634833,-0.08782483916391137
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,1.0,0.8,0.8811752722884921,0.6331761952634833,0.24799907702500879
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,1.0,0.9,0.7571757337759878,0.6331761952634833,0.12399953851250445
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,1.0,1.0,0.6331761952634833,0.6331761952634833,0.0
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,1.0,1.1,0.5091766567509789,0.6331761952634833,-0.12399953851250445
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,1.0,1.2,0.3851771182384746,0.6331761952634833,-0.24799907702500873
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,1.1,0.8,0.7501236231294125,0.6331761952634833,0.11694742786592915
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,1.1,0.9,0.626124084616908,0.6331761952634833,-0.007052110646575294
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,1.1,1.0,0.5021245461044037,0.6331761952634833,-0.13105164915907963
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,1.1,1.1,0.3781250075918992,0.6331761952634833,-0.25505118767158413
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,1.1,1.2,0.25412546907939493,0.6331761952634833,-0.3790507261840884
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,1.2,0.8,0.6409139154968463,0.6331761952634833,0.007737720233362944
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,1.2,0.9,0.516914376984342,0.6331761952634833,-0.1162618182791414
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,1.2,1.0,0.3929148384718375,0.6331761952634833,-0.24026135679164584
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,1.2,1.1,0.26891529995933294,0.6331761952634833,-0.3642608953041504
IDGX2 -> H5TO12,IDGX2,H5TO12,top-quintile-vs-bottom,1.2,1.2,0.14491576144682872,0.6331761952634833,-0.4882604338166546
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,0.8,0.8,0.7168332275642725,0.4551466894551812,0.26168653810909126
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,0.8,0.9,0.6705027431506372,0.4551466894551812,0.21535605369545596
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,0.8,1.0,0.624172258737002,0.4551466894551812,0.16902556928182078
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,0.8,1.1,0.5778417743233667,0.4551466894551812,0.12269508486818548
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,0.8,1.2,0.5315112899097314,0.4551466894551812,0.07636460045455018
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,0.9,0.8,0.6229301335188164,0.4551466894551812,0.1677834440636352
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,0.9,0.9,0.5765996491051811,0.4551466894551812,0.12145295964999991
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,0.9,1.0,0.530269164691546,0.4551466894551812,0.07512247523636473
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,0.9,1.1,0.4839386802779107,0.4551466894551812,0.028791990822729485
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,0.9,1.2,0.4376081958642755,0.4551466894551812,-0.0175384935909057
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,1.0,0.8,0.5478076582824517,0.4551466894551812,0.09266096882727048
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,1.0,0.9,0.5014771738688164,0.4551466894551812,0.04633048441363519
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,1.0,1.0,0.4551466894551812,0.4551466894551812,0.0
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,1.0,1.1,0.4088162050415459,0.4551466894551812,-0.0463304844136353
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,1.0,1.2,0.36248572062791073,0.4551466894551812,-0.09266096882727048
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,1.1,0.8,0.48634381490724404,0.4551466894551812,0.031197125452062824
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,1.1,0.9,0.4400133304936088,0.4551466894551812,-0.015133358961572418
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,1.1,1.0,0.3936828460799736,0.4551466894551812,-0.061463843375207605
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,1.1,1.1,0.3473523616663383,0.4551466894551812,-0.1077943277888429
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,1.1,1.2,0.3010218772527031,0.4551466894551812,-0.15412481220247815
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,1.2,0.8,0.4351239454279045,0.4551466894551812,-0.020022744027276718
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,1.2,0.9,0.38879346101426926,0.4551466894551812,-0.06635322844091196
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,1.2,1.0,0.34246297660063396,0.4551466894551812,-0.11268371285454726
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,1.2,1.1,0.29613249218699866,0.4551466894551812,-0.15901419726818256
IDGX2 -> H5TO15,IDGX2,H5TO15,top-quintile-vs-bottom,1.2,1.2,0.24980200777336348,0.4551466894551812,-0.20534468168181774
