outcome,delta_beta,delta_se_boot,delta_ci_lo,delta_ci_hi,delta_p_boot,n_boot_valid
W4_COG_COMP,-0.004969701288034985,0.004155824187065133,-0.012519207768805794,0.0032730034863233766,0.22,200
H4BMI,-0.1912150181810337,0.05923043335508912,-0.3018922587017856,-0.0807887731910196,0.005,200
H4WAIST,-0.3605203058698827,0.11327031404510797,-0.5951499558562798,-0.16514948464906506,0.005,200
H4SBP,-0.03944611719386026,0.08042362376926025,-0.20872377925411034,0.09444225476475263,0.45,200
H4DBP,-0.08812828220184984,0.06345223751062547,-0.20333047078262145,0.059744775921930594,0.16,200
H4BMICLS,-0.03390497509612285,0.009122102505117042,-0.05156915151699345,-0.016317531152276965,0.005,200
H5MN1,0.004382409570318076,0.010293436071584082,-0.01405047132876657,0.024825190471629136,0.59,200
H5MN2,0.0018165943509639154,0.007422749394919946,-0.011106295143973861,0.017096830265294818,0.75,200
H5ID1,-0.0035646100557917663,0.006460395577110737,-0.015904554628058787,0.008090978130336409,0.56,200
H5ID4,-0.001085843176710009,0.0038570205666707026,-0.008640348306195178,0.006518040007616074,0.74,200
H5ID16,0.00954120975495882,0.010879082401635293,-0.012583958178507524,0.029273091792329682,0.34,200
H5LM5,-0.0020465855464915092,0.0027958282755255856,-0.008066237837116049,0.002906397322594811,0.42,200
H5EC1,-0.03211232727241817,0.021940394958029914,-0.07515623145543733,0.009517230708840361,0.12,200
